Region,Voter_Turnout_Percentage,Support_Type
Northern Ireland,72.69767419423098,Remain
Wales,64.10697782108451,Leave
Scotland,73.7921445267914,Leave
South East,73.15367305909517,Remain
Scotland,65.04055104620159,Leave
Scotland,62.06668235313369,Leave
Greater London,74.26075954919541,Leave
South East,68.5953836284392,Leave
Greater London,64.99937865397959,Remain
East Midlands,62.31870356087734,Leave
Greater London,75.60955885983257,Remain
East Midlands,73.43215540213785,Leave
South East,65.59213702640024,Leave
Yorkshire,69.85359908904562,Remain
Yorkshire,76.30615507262748,Remain
East Midlands,75.80125312083902,Leave
Greater London,76.3679345598806,Remain
Wales,67.46175562259673,Remain
Scotland,62.61710415379841,Leave
Scotland,64.44356952881633,Leave
East Midlands,61.991135524562615,Leave
West Midlands,60.886990710704794,Leave
Scotland,65.42779640902714,Remain
Wales,77.42480798495451,Remain
West Midlands,76.21765307923721,Leave
North East,77.24879551609233,Remain
West Midlands,61.88665168294009,Remain
North East,64.95824007461508,Leave
Scotland,77.86914355397012,Remain
Scotland,64.4485801015069,Leave
Northern Ireland,79.09658760100342,Remain
Northern Ireland,65.65625149378047,Remain
Wales,72.14631289384671,Remain
East Midlands,76.44672628548322,Remain
Wales,73.4985381390914,Leave
Northern Ireland,67.0618154731676,Leave
Yorkshire,65.73208572837191,Leave
Wales,74.49971093832679,Remain
South East,71.98145294893841,Remain
Scotland,72.00477124181242,Remain
Scotland,75.84171176022781,Remain
Wales,79.65668505463768,Leave
South East,63.02038437834828,Leave
Yorkshire,75.12337421088523,Leave
Yorkshire,67.75509825441091,Leave
Northern Ireland,63.169675985982835,Leave
North East,72.6647631059951,Leave
Wales,60.913549087424606,Leave
Yorkshire,64.35680648745328,Leave
Northern Ireland,72.94911992965532,Remain
East Midlands,62.99968383750099,Remain
Yorkshire,73.62358399229144,Remain
West Midlands,74.57869892752045,Remain
Yorkshire,75.7094087118205,Leave
Yorkshire,76.79459885866845,Remain
Northern Ireland,65.02787068183207,Leave
South East,75.75005537857088,Leave
Wales,74.44970100876229,Remain
North East,63.94784667681607,Remain
Greater London,79.50466439072034,Leave
Yorkshire,60.76906757250633,Remain
Yorkshire,69.18059209461377,Leave
Wales,71.21649053611559,Leave
North East,64.65713337180533,Remain
Yorkshire,72.44113837962784,Remain
Wales,71.50893603458988,Leave
North East,78.10426900004349,Remain
Scotland,60.3848906115153,Leave
West Midlands,73.26893321433374,Leave
Scotland,60.911660823596804,Remain
Greater London,74.93089023670373,Leave
Yorkshire,69.40555209030686,Leave
East Midlands,78.78829560528648,Leave
East Midlands,67.2869469041543,Leave
East Midlands,71.48294197794006,Leave
West Midlands,72.94788606967974,Remain
Wales,79.50731547851558,Remain
Yorkshire,76.48603580141267,Remain
Yorkshire,69.99019486693416,Leave
North East,72.40941868768998,Leave
Wales,65.32012227755455,Remain
Scotland,77.52467989189972,Remain
Greater London,67.25776699861065,Remain
South East,65.80607835615974,Leave
Greater London,69.19310925342803,Leave
Northern Ireland,62.09229069104537,Leave
Northern Ireland,73.74239636482181,Leave
Scotland,79.82891692780848,Leave
East Midlands,61.89344086964688,Leave
Greater London,64.28789852110175,Leave
South East,68.22488990396417,Remain
South East,69.22005214402752,Leave
West Midlands,61.29055895535378,Remain
Yorkshire,62.0679584756444,Remain
South East,74.38584415709416,Leave
Northern Ireland,71.57259639357241,Remain
North East,77.3159047522562,Remain
Wales,61.42765491103915,Leave
Yorkshire,73.9406639033831,Leave
West Midlands,71.03797883710423,Remain
West Midlands,79.33383574280356,Remain
Greater London,72.65830233187828,Leave
East Midlands,66.60259454016953,Leave
Scotland,75.23851066965636,Leave
Greater London,63.88859039581395,Remain
Greater London,79.68077449310817,Leave
Greater London,70.94852759761874,Remain
North East,74.14690022096394,Remain
Greater London,65.266552572672,Leave
Northern Ireland,63.29750090968125,Remain
Wales,69.00644626840588,Remain
Yorkshire,60.33035956818769,Leave
Yorkshire,71.6262795345526,Leave
Yorkshire,66.08005952761287,Remain
West Midlands,60.98107334400127,Leave
North East,72.05653446112224,Remain
East Midlands,63.832094604420305,Remain
Yorkshire,67.24732708884224,Remain
East Midlands,78.97102422100738,Remain
Northern Ireland,64.91135809985965,Remain
East Midlands,69.7760084900702,Leave
Northern Ireland,60.188441280136665,Leave
East Midlands,74.15841239692934,Remain
Northern Ireland,77.26335815480408,Remain
North East,63.94314012002046,Remain
Greater London,74.41232167626988,Leave
North East,67.26520941541763,Remain
Wales,66.44637119965283,Remain
Scotland,62.17895889535492,Remain
West Midlands,76.20925937981175,Leave
Northern Ireland,60.32623974503076,Remain
South East,79.38703780697615,Leave
North East,65.22051727467033,Remain
Greater London,69.48548051788948,Leave
Yorkshire,79.24018821317146,Leave
South East,63.48179753697012,Remain
North East,77.66271381899537,Remain
Wales,66.16788811029356,Leave
North East,78.39597513642498,Remain
North East,76.01744578403991,Remain
Yorkshire,66.5395981264463,Leave
Wales,75.01472738410772,Leave
Scotland,67.08583297267802,Remain
Wales,73.00435891109427,Leave
West Midlands,78.28243247567315,Remain
South East,75.7405759224412,Leave
East Midlands,68.76728784282216,Leave
Scotland,65.04916459614047,Leave
Northern Ireland,66.5725414457541,Leave
West Midlands,60.0195330314318,Remain
East Midlands,70.94493449215656,Leave
South East,74.2538659147186,Remain
Yorkshire,79.74654803825851,Remain
West Midlands,76.21689726604089,Remain
South East,65.0953261302466,Leave
Yorkshire,71.90005003996059,Remain
East Midlands,62.65715883265871,Leave
Greater London,76.79438866435501,Leave
Greater London,66.31791643597971,Remain
North East,67.79807839967867,Leave
Greater London,78.59542588578937,Leave
East Midlands,71.6791753559664,Remain
Scotland,61.397349608864296,Remain
Scotland,76.76452367529946,Leave
Yorkshire,79.92692649556554,Remain
South East,71.85946457759636,Remain
Scotland,75.33675711316377,Leave
Wales,74.42643267644871,Leave
Scotland,68.38118402538657,Remain
West Midlands,66.26987503066543,Leave
Northern Ireland,74.82879541343016,Leave
Northern Ireland,68.9770469785174,Remain
Yorkshire,61.76787408849276,Leave
Yorkshire,79.84098841712536,Remain
West Midlands,66.26187675824382,Leave
Northern Ireland,74.56774626402624,Leave
East Midlands,66.89785792754975,Leave
Yorkshire,65.27853609501597,Leave
Greater London,62.07937793083003,Leave
Northern Ireland,63.777382683797754,Remain
Yorkshire,67.65310259314951,Leave
East Midlands,65.0856509645504,Leave
Yorkshire,71.51545432791431,Remain
West Midlands,78.73526423899784,Remain
West Midlands,64.30772644143882,Leave
East Midlands,64.43561091757283,Remain
Yorkshire,64.34354164925735,Leave
Northern Ireland,67.10964218872722,Remain
South East,75.41905885643811,Remain
Scotland,63.48537857192427,Leave
South East,79.49106352672419,Leave
Greater London,75.96258367641619,Remain
Yorkshire,79.61923625999704,Remain
North East,61.060153819046356,Leave
Scotland,67.6258043159893,Leave
South East,63.89059707985877,Leave
Yorkshire,78.13830719271255,Remain
South East,67.72451608867487,Leave
East Midlands,61.81132398350455,Remain
East Midlands,68.98075002840099,Leave
Wales,70.31434036734265,Leave
Yorkshire,60.337723819354515,Remain
West Midlands,77.12026307666822,Remain
Northern Ireland,73.636129995056,Remain
South East,76.16166951754917,Leave
Scotland,67.83043330430311,Leave
North East,67.4058374087791,Remain
South East,65.7650252150713,Remain
East Midlands,79.36722293654934,Leave
North East,76.16928743589966,Remain
Scotland,71.58911709868835,Leave
East Midlands,67.4327210897683,Leave
North East,74.4713298094096,Remain
South East,73.42106166853763,Leave
Wales,69.55322062471942,Leave
Northern Ireland,60.223610438691374,Remain
North East,79.70507403966486,Leave
Scotland,76.64546809787434,Leave
North East,63.37394137784893,Leave
East Midlands,65.53265228557672,Remain
Wales,74.97110207766043,Leave
Wales,77.08020000157228,Remain
Yorkshire,79.74088559455942,Remain
Greater London,61.885028549128265,Remain
Scotland,66.53973009634062,Remain
Greater London,65.40392334673365,Leave
Scotland,68.50403114638539,Remain
Wales,69.74926022632387,Remain
Wales,75.84972322141257,Remain
East Midlands,71.61263513517643,Remain
Greater London,65.15039721378957,Remain
South East,74.88158451579255,Leave
East Midlands,73.71937562729099,Remain
West Midlands,68.50552108628939,Leave
Scotland,77.68204530220791,Leave
Greater London,77.05162283049744,Leave
East Midlands,69.36519923911328,Remain
Wales,62.184191887031766,Leave
Wales,65.92159276680061,Remain
North East,65.45394424391777,Remain
East Midlands,79.1366460718466,Remain
Scotland,76.395176232754,Remain
East Midlands,77.28311619457622,Remain
Yorkshire,63.228245369308304,Leave
Greater London,61.62083987893491,Leave
Yorkshire,69.62800773204644,Remain
West Midlands,75.67749208725247,Leave
North East,75.27397971619911,Remain
North East,68.22900874965529,Leave
North East,62.010838694598746,Remain
Greater London,68.11482679896945,Leave
Scotland,78.05361915694836,Leave
North East,60.55529077510561,Leave
Wales,65.89766523318906,Leave
Yorkshire,64.06227046186429,Remain
North East,77.7322686754355,Remain
West Midlands,74.61292559190035,Leave
North East,61.36368749220392,Remain
Greater London,72.92048046605005,Remain
Greater London,77.80920673671463,Leave
North East,65.0829603020125,Leave
North East,62.683763556233814,Remain
Greater London,75.74724828437262,Leave
Northern Ireland,78.87774425144538,Remain
Wales,65.60298883983154,Remain
Wales,65.69186711656543,Remain
Northern Ireland,74.89269670388896,Leave
Greater London,68.02820421421005,Remain
Wales,76.07160703082471,Leave
Wales,70.29221751682334,Remain
East Midlands,65.40676713241804,Remain
Greater London,74.78488267835253,Leave
Wales,79.34526130566196,Remain
Yorkshire,77.64442478410714,Leave
Northern Ireland,69.72003369253183,Leave
Yorkshire,63.53766543132577,Leave
Greater London,67.28918071823907,Leave
Yorkshire,73.47398623020149,Remain
Scotland,67.3915378879877,Leave
North East,71.20010442326617,Leave
East Midlands,69.92894162902464,Remain
East Midlands,69.75609628557012,Remain
South East,74.2559484115266,Remain
Scotland,63.161255645136606,Remain
Northern Ireland,69.53247427262366,Leave
North East,68.20720081528714,Leave
Wales,79.46813962799304,Remain
North East,65.07125569610483,Remain
North East,71.11404668759678,Remain
Northern Ireland,70.86307766558849,Leave
South East,77.28344671423218,Leave
Greater London,73.09196533841728,Leave
Wales,78.96560998400918,Remain
Yorkshire,64.74871197145748,Remain
West Midlands,71.49295032204387,Remain
Yorkshire,60.94710776118237,Remain
Scotland,79.1557507502025,Remain
West Midlands,69.6125071286772,Leave
Yorkshire,62.02227770531388,Remain
Scotland,67.46715437278246,Remain
South East,69.31306279891503,Leave
South East,65.9406795209675,Remain
West Midlands,69.54515199245493,Leave
East Midlands,62.16191635133083,Leave
North East,69.60041466821188,Leave
Scotland,63.91664464332128,Remain
East Midlands,79.95484143997353,Remain
Wales,74.00925169777152,Remain
Northern Ireland,65.80344351648688,Leave
West Midlands,76.87344322314082,Remain
Wales,79.0076573693535,Remain
West Midlands,76.67560365888235,Remain
Yorkshire,60.38908583327995,Remain
North East,63.950863029320594,Remain
South East,70.75243328023892,Remain
South East,67.82258488758815,Remain
West Midlands,72.04733539748545,Remain
Wales,76.24528070641156,Remain
East Midlands,78.42943798854978,Remain
South East,66.13837735072623,Leave
East Midlands,69.49240908397324,Leave
South East,73.8584585782788,Remain
Wales,72.52079891683556,Remain
North East,61.467911610091925,Remain
South East,66.40001222684262,Leave
Wales,77.3106755435118,Leave
East Midlands,75.28286225948388,Remain
South East,62.2446765891526,Remain
East Midlands,60.84016957759259,Leave
West Midlands,79.94351416666062,Leave
North East,77.38489842441426,Leave
South East,61.1230892222769,Leave
Greater London,78.78757054329577,Leave
North East,62.51685426062883,Leave
East Midlands,61.7480469550077,Remain
Yorkshire,70.3006107319519,Remain
West Midlands,63.35596675908195,Leave
Greater London,68.58757926846584,Leave
Greater London,61.34789424301702,Leave
Greater London,71.72479505806834,Remain
Scotland,76.41085958118632,Remain
North East,72.67910851114222,Leave
West Midlands,77.86165646609521,Leave
North East,76.64964310072273,Remain
North East,66.96961693193963,Remain
South East,66.76290365580412,Remain
Wales,74.14521549510708,Leave
South East,64.61547407820959,Leave
Wales,74.34643237618035,Remain
South East,61.78613139279561,Remain
Greater London,74.43199297686407,Leave
North East,64.59983788054447,Leave
North East,77.59205259080963,Remain
South East,64.1159183709922,Leave
Yorkshire,65.5759247563602,Leave
West Midlands,77.05591551532108,Leave
Scotland,72.7748099673619,Leave
South East,73.27441661181302,Leave
Scotland,76.73096439889795,Leave
South East,70.98608178942999,Leave
Northern Ireland,79.52408465044257,Remain
East Midlands,69.19589872357253,Remain
Scotland,76.14375060466658,Leave
Wales,70.49914644937945,Remain
Greater London,71.71315288517735,Leave
Scotland,67.59272999058199,Leave
Yorkshire,62.959350473649046,Remain
West Midlands,61.0033000968229,Leave
Greater London,78.15658707074117,Leave
Wales,79.94128265946266,Remain
Wales,69.75363034728569,Leave
West Midlands,62.21255405571577,Remain
Northern Ireland,75.75946471811687,Remain
East Midlands,75.79532965909418,Leave
Greater London,61.42257751100258,Leave
Northern Ireland,73.61642388217925,Remain
West Midlands,74.8082981571454,Remain
Scotland,67.75175302433094,Remain
Northern Ireland,73.62656977250825,Remain
East Midlands,61.98347299476614,Leave
East Midlands,65.04138622115178,Remain
Yorkshire,72.7318357979537,Remain
Northern Ireland,74.67123053441021,Remain
Northern Ireland,63.704123521707615,Leave
East Midlands,67.91287276525176,Remain
Wales,69.5911811811317,Remain
East Midlands,64.70523277295771,Remain
Yorkshire,79.97917323564869,Remain
South East,74.99781737902573,Remain
West Midlands,61.50665312993054,Remain
Yorkshire,70.19593255788443,Remain
Northern Ireland,64.96827963302266,Remain
Northern Ireland,64.04255489656353,Remain
Wales,74.36610977216641,Leave
North East,72.51427199930046,Remain
Wales,77.2704255359411,Remain
Scotland,76.39549617513012,Leave
Wales,62.65032794661091,Leave
Scotland,77.18938934136311,Leave
Yorkshire,65.53036272522043,Remain
Scotland,79.65760387739252,Remain
East Midlands,74.60044387530078,Leave
Wales,62.05579923737475,Leave
East Midlands,73.73038535909384,Leave
Scotland,72.00654188656533,Leave
West Midlands,77.75960284639592,Remain
North East,60.45952563076519,Leave
Northern Ireland,71.69769916252872,Leave
West Midlands,68.78957748291263,Remain
West Midlands,69.47761047344969,Remain
South East,66.30609180458345,Remain
Greater London,72.18453326961541,Leave
Wales,65.46908282730462,Leave
Scotland,62.66089561063913,Remain
South East,60.778018955379515,Remain
South East,67.25784778086027,Leave
South East,77.32052997075053,Remain
West Midlands,61.981328534382435,Leave
South East,68.7717900745723,Leave
Wales,77.46697256712513,Remain
Greater London,61.18760374703695,Remain
East Midlands,72.85595093110818,Leave
North East,71.57584961805618,Remain
South East,63.154384478586024,Leave
East Midlands,62.75898083123637,Leave
North East,79.65339585375274,Remain
North East,63.64125294926786,Leave
Northern Ireland,61.01887186630784,Leave
Wales,74.09915494623503,Remain
Wales,62.0974667994909,Remain
West Midlands,67.91994269088858,Remain
Wales,64.68258734145802,Leave
Greater London,71.39495683111282,Leave
North East,75.61144665364618,Remain
Scotland,76.18525018036408,Remain
East Midlands,61.18708309792515,Remain
West Midlands,65.6222464573914,Leave
Wales,75.91772978536497,Remain
South East,69.06383830674767,Leave
North East,74.8558503916849,Leave
West Midlands,70.1113583647076,Leave
West Midlands,75.42728820827791,Remain
West Midlands,75.58837934241096,Remain
Scotland,65.0431693617248,Remain
West Midlands,65.44599219105666,Leave
North East,70.00833487330941,Remain
South East,65.57678225474004,Leave
North East,71.9230866724923,Remain
Scotland,60.271348109146686,Leave
North East,78.08688485050709,Remain
Yorkshire,67.66470787936902,Remain
North East,79.93533975149077,Leave
Greater London,79.4092015659251,Leave
Northern Ireland,74.30061644947,Remain
Greater London,76.46488287268954,Remain
North East,62.83366931680061,Remain
Yorkshire,69.9224449809301,Remain
Scotland,63.98172403575998,Remain
West Midlands,64.53924327729334,Leave
Wales,68.64696317129388,Leave
Wales,74.610253009963,Remain
North East,67.53363276092341,Leave
Northern Ireland,69.64721377214485,Remain
South East,74.00247454181377,Leave
North East,63.38190604228766,Remain
Yorkshire,74.74065623696276,Leave
West Midlands,79.58352848180012,Leave
South East,64.55724188156496,Leave
South East,68.79868429442581,Remain
Greater London,75.15037094260403,Remain
Yorkshire,76.78514293023488,Remain
South East,62.478665933995934,Leave
Wales,75.08357578272485,Leave
Scotland,75.27566455689481,Leave
Greater London,67.96595870827117,Remain
South East,76.93343245178879,Remain
South East,74.68840124977758,Leave
Wales,68.70344014566734,Leave
West Midlands,75.27196058172504,Remain
North East,67.81937557175168,Remain
Northern Ireland,79.50136761279069,Leave
Wales,66.98934119305511,Remain
North East,75.1467715175628,Leave
South East,60.919571417486466,Remain
Yorkshire,79.89538738480562,Leave
North East,60.67870707826415,Remain
Yorkshire,61.63011118222959,Leave
North East,70.99696373454942,Remain
Scotland,64.83504645455346,Remain
Scotland,64.16869897330153,Leave
East Midlands,76.09307275322854,Leave
Scotland,67.56405416035047,Remain
Northern Ireland,73.17167831896455,Leave
Scotland,66.97435807711327,Remain
Wales,77.42595554764398,Leave
Northern Ireland,68.38038559621454,Leave
Scotland,79.63327782343138,Remain
North East,68.40896360735746,Leave
Scotland,68.3565216232638,Remain
Scotland,65.2634099639935,Remain
West Midlands,70.03237035481443,Remain
Greater London,69.18502787484088,Remain
West Midlands,67.16902322592703,Leave
Yorkshire,79.27404671527279,Remain
Yorkshire,79.59462555153291,Leave
West Midlands,71.4370536728404,Leave
Yorkshire,70.09293361212288,Leave
Northern Ireland,75.1585548031908,Leave
Wales,76.8235270174336,Remain
Greater London,70.8596361569902,Leave
Scotland,66.94208339170702,Remain
Yorkshire,73.5474557727499,Remain
Scotland,74.97048276394347,Remain
South East,79.87804867018114,Leave
Scotland,75.16069358554277,Remain
Northern Ireland,78.23533654823865,Leave
Greater London,62.02239545113603,Remain
Northern Ireland,72.50508049649653,Leave
Yorkshire,74.16426912298549,Remain
Yorkshire,66.34566398706332,Remain
North East,71.11523219376775,Leave
Wales,70.9663268846082,Leave
Scotland,68.29673854216094,Remain
Greater London,69.69728491260277,Remain
Scotland,62.86724447045275,Leave
South East,73.6319714535353,Leave
North East,63.132199224888645,Remain
Wales,67.68668608746604,Remain
North East,63.57574461910604,Leave
North East,60.26685696163122,Remain
Scotland,72.94294087454946,Remain
South East,63.333255290935355,Remain
Scotland,66.31824440715661,Leave
South East,77.37191030411452,Remain
West Midlands,69.49048655680836,Remain
South East,76.91909027897344,Remain
Wales,60.48370330642515,Remain
West Midlands,67.910271572618,Leave
Scotland,73.4119487685568,Leave
West Midlands,75.20526806297526,Remain
East Midlands,77.08295653696675,Remain
Greater London,69.6783449404247,Leave
Yorkshire,64.93687271593419,Remain
Northern Ireland,69.29082467742177,Leave
East Midlands,71.11453360090034,Leave
Wales,63.90591561376528,Leave
Scotland,78.15091990420004,Leave
East Midlands,78.12553468101382,Leave
Greater London,68.30444765961252,Remain
Scotland,64.6767521725655,Remain
Wales,68.9886315848185,Leave
Scotland,61.369943196046584,Leave
Greater London,63.58251003700777,Leave
South East,78.43901974134752,Leave
North East,78.72949116923809,Leave
West Midlands,77.53286108348055,Leave
Greater London,60.522000293830786,Leave
Northern Ireland,62.679887846609056,Leave
North East,66.89076237798255,Leave
East Midlands,75.00225959742988,Remain
West Midlands,66.49834686887408,Remain
South East,61.07082060279237,Leave
Yorkshire,60.87932302627212,Leave
North East,74.1334280864808,Leave
North East,64.47760474570201,Remain
Yorkshire,61.84798274740109,Remain
Greater London,67.693752375782,Leave
West Midlands,69.26932314606378,Leave
West Midlands,62.19104823229438,Leave
Scotland,72.82770810847444,Leave
Scotland,62.98164067668119,Remain
West Midlands,62.37813789394776,Leave
Greater London,64.98879362768452,Remain
Yorkshire,73.25327166306354,Remain
Scotland,79.37164330079177,Leave
Yorkshire,68.19180343041309,Leave
East Midlands,76.23632143852376,Remain
North East,63.90852682334321,Remain
East Midlands,64.5593893514881,Leave
East Midlands,65.35025108947778,Remain
Greater London,61.609788635667606,Remain
South East,61.449636593601596,Leave
North East,71.69198350417149,Leave
South East,64.18635465850504,Leave
West Midlands,78.48515482810548,Leave
South East,68.90566590116926,Remain
East Midlands,73.43003556181647,Leave
Scotland,69.59695484472275,Leave
North East,60.20222866418004,Leave
West Midlands,60.54598159375562,Leave
West Midlands,67.52426223754884,Remain
Northern Ireland,61.589467963882655,Leave
Wales,66.54433787901843,Remain
Greater London,65.08427587975729,Leave
West Midlands,71.90386903960277,Leave
South East,77.86572191046157,Leave
Greater London,79.17615879637114,Leave
Yorkshire,63.338370274366014,Remain
North East,71.83128627798163,Leave
Yorkshire,72.98328429017036,Remain
South East,76.16458202475584,Leave
Yorkshire,77.47901362571245,Remain
Wales,67.88000433280946,Remain
Northern Ireland,76.0619564528776,Remain
Greater London,69.81540907631822,Remain
South East,69.41383824174795,Leave
Scotland,60.1955156641815,Remain
West Midlands,66.56390260230195,Leave
North East,66.3249273884197,Leave
East Midlands,78.14779124797167,Remain
Northern Ireland,76.70186749939052,Remain
Wales,70.90218376718674,Leave
Yorkshire,63.06478396195375,Remain
South East,66.07926076968003,Leave
Greater London,71.81955422511348,Leave
South East,77.28553434374909,Leave
Northern Ireland,64.05234523826128,Remain
West Midlands,63.756971720331016,Remain
South East,67.97611829506249,Leave
Greater London,72.10103743149264,Remain
North East,68.26939416423242,Remain
Greater London,60.820868660945344,Remain
West Midlands,60.122084515241774,Leave
North East,77.8129397950462,Leave
East Midlands,60.97920888400158,Remain
Wales,61.16008317463326,Remain
Greater London,64.97346838239045,Remain
East Midlands,74.50062786043938,Remain
Wales,66.05523142155337,Leave
Northern Ireland,73.362928263003,Remain
Greater London,63.44011719844006,Leave
North East,61.03509173671159,Leave
Scotland,76.4112187229245,Leave
Northern Ireland,77.83277763062671,Remain
South East,79.82216649307654,Leave
Yorkshire,72.21262306552177,Remain
West Midlands,75.01833750509182,Remain
Scotland,71.05877128002516,Remain
North East,72.4996916150474,Leave
South East,76.40043746797198,Leave
Yorkshire,60.65227376166894,Leave
Wales,67.58660594639937,Leave
Wales,74.64372547783032,Remain
Northern Ireland,79.53059635227874,Remain
West Midlands,74.68667268487903,Remain
Greater London,65.71984742265393,Leave
Scotland,67.62054559468154,Leave
North East,70.22613054271024,Leave
North East,78.33711893206853,Leave
East Midlands,78.54298305542021,Leave
Scotland,64.62540699423752,Leave
South East,64.2880555262421,Leave
Wales,77.05136364739607,Remain
Wales,61.82495703130397,Remain
North East,66.2154277145971,Leave
Greater London,60.988532913743335,Remain
North East,72.15461339879045,Remain
West Midlands,69.1858882561365,Leave
South East,73.94511850501179,Remain
South East,77.67519210917533,Remain
East Midlands,77.15414503334446,Remain
South East,79.70709337938561,Leave
Greater London,67.33142813584419,Remain
East Midlands,68.85281211108433,Leave
Scotland,70.29233303095006,Leave
Northern Ireland,61.326207516208264,Remain
Northern Ireland,67.0448571451051,Remain
West Midlands,79.20688273531917,Leave
Yorkshire,71.33237593969878,Leave
South East,67.52497763772035,Leave
West Midlands,77.05860904333342,Remain
South East,68.46233988101747,Remain
Yorkshire,70.81671655875785,Leave
Greater London,68.79678322614407,Leave
South East,67.83958570261731,Leave
Northern Ireland,64.71402479378847,Remain
Yorkshire,71.0897793527327,Leave
Scotland,78.17523986241281,Leave
East Midlands,77.02256124825807,Remain
East Midlands,65.65295365649418,Leave
East Midlands,78.74083296248003,Leave
Scotland,64.96209235630138,Leave
North East,72.84923243813265,Leave
East Midlands,78.80391979968464,Leave
South East,73.55204627799425,Leave
Wales,66.77930395288206,Remain
East Midlands,66.45716387466533,Leave
Northern Ireland,74.35186330678954,Leave
East Midlands,76.07109793574215,Remain
East Midlands,63.87631415154865,Remain
Wales,66.92441511132591,Remain
Yorkshire,64.02608008088339,Leave
South East,64.17741658904811,Remain
South East,68.23817211855007,Leave
South East,65.39938798243057,Leave
Northern Ireland,76.22710546091699,Leave
Wales,60.420504089928976,Leave
Wales,75.54482161942639,Leave
North East,62.837670714175026,Leave
Northern Ireland,77.0312233859272,Remain
Scotland,66.28942359692026,Remain
North East,64.86005952546644,Remain
East Midlands,63.87881327498713,Remain
East Midlands,66.60773546311268,Remain
West Midlands,72.58968938647666,Leave
North East,70.30944301148106,Remain
North East,61.46157002239179,Leave
Wales,74.49307306456704,Leave
East Midlands,62.97955739043839,Remain
Scotland,70.95913140139417,Leave
Wales,71.85050774430532,Leave
Greater London,73.80430268797066,Leave
Wales,74.34063002383219,Leave
Northern Ireland,79.88235101999543,Remain
Northern Ireland,69.2396528225197,Remain
Northern Ireland,71.49151448543479,Remain
Northern Ireland,69.9436044167822,Remain
Wales,69.90280226830379,Leave
Wales,74.98506885306597,Leave
East Midlands,73.16356479263943,Remain
Scotland,69.89456865724391,Remain
Wales,72.11597595963453,Leave
East Midlands,64.35192057404022,Remain
Greater London,70.5492628548717,Leave
Greater London,67.74452490813815,Leave
North East,74.46281797089028,Remain
West Midlands,74.90652831924281,Leave
Scotland,61.37550216800129,Remain
East Midlands,73.83802586109618,Remain
Northern Ireland,69.9640492911881,Remain
Northern Ireland,75.57880123415448,Leave
South East,62.28806140285421,Leave
Northern Ireland,69.04247159890087,Remain
Yorkshire,65.88452796567329,Leave
Scotland,67.29096847919554,Leave
East Midlands,61.87183038002183,Remain
Yorkshire,61.66874757832629,Remain
Wales,63.46472152844158,Remain
Wales,72.71397495762993,Remain
Northern Ireland,76.20185939057667,Remain
South East,61.536649094803515,Remain
North East,79.87595888449471,Remain
Greater London,63.14995315306248,Leave
Northern Ireland,66.52455650557663,Leave
Wales,79.91454264319486,Leave
Yorkshire,72.65271256414432,Leave
Scotland,64.69087975480676,Remain
West Midlands,68.16113387357228,Remain
West Midlands,60.899433729529264,Remain
Wales,63.939552670123255,Remain
Wales,71.71446251938035,Remain
West Midlands,70.47449455852188,Leave
Scotland,75.02322951448322,Remain
Wales,72.15498727904841,Remain
Scotland,75.25384820708541,Remain
Northern Ireland,64.13920264802306,Remain
Yorkshire,63.942616977494666,Leave
Northern Ireland,63.837303972377235,Remain
North East,73.20162389970645,Leave
Greater London,77.69003707130899,Remain
Yorkshire,62.001731270081336,Remain
Yorkshire,69.16949512890425,Leave
South East,62.421029951893466,Leave
Wales,63.32453818411413,Leave
West Midlands,79.05555883592692,Remain
East Midlands,71.39296458552529,Remain
South East,62.81792285284555,Leave
Wales,77.47635108946767,Remain
East Midlands,74.05076198405074,Leave
West Midlands,73.35249948847238,Leave
Scotland,78.95868203148473,Leave
North East,73.65583080237268,Leave
West Midlands,76.87448865546324,Remain
Wales,68.7533725618637,Leave
South East,61.979293074840676,Remain
Yorkshire,78.5935713209134,Leave
Northern Ireland,76.92292286279886,Leave
Yorkshire,71.20606727509188,Leave
Scotland,78.92593047626033,Leave
South East,72.72182844018712,Leave
East Midlands,78.6064178124377,Leave
Scotland,71.27302290590536,Remain
South East,72.92499022486979,Remain
Yorkshire,73.10204605105896,Leave
East Midlands,73.06763396217768,Leave
North East,76.09282063169093,Leave
South East,71.45915294455122,Remain
Northern Ireland,60.04577343046267,Remain
Wales,64.16245000124673,Remain
Yorkshire,62.01495796160949,Leave
Yorkshire,68.94452355202266,Leave
Wales,71.1741176601902,Remain
South East,68.86778913658424,Remain
Scotland,75.36404145551778,Leave
Greater London,77.79821441656782,Leave
South East,74.8872017443948,Leave
Northern Ireland,76.67171954186739,Leave
West Midlands,65.82862990148007,Leave
Scotland,76.81440554136987,Leave
East Midlands,74.80293653263973,Leave
Wales,78.02419136711791,Remain
South East,71.48291467925013,Remain
Yorkshire,77.82032580618329,Leave
West Midlands,67.55742269810132,Remain
East Midlands,77.89274871872722,Remain
Wales,62.04600428745167,Leave
Greater London,60.579863396413685,Leave
East Midlands,74.78459349877572,Leave
South East,66.34402766676985,Remain
Scotland,71.30711491502679,Remain
East Midlands,62.83980296423631,Leave
South East,62.98211213461748,Leave
Greater London,65.49916895808207,Remain
North East,66.3885444061804,Leave
Greater London,74.16219133206499,Leave
Wales,61.312551036448035,Remain
Greater London,67.27902830364631,Leave
